Name of Training Set,Data Type,Number of Specimens,Total No. of Images (XY),Approx. Duration of Segmentation (Mins),Training Time ES 25 (Mins),Dice Score ES 25,Training Time 200 Epochs (Mins),Dice Score 200 Epochs
T0_AI_1_Images,Original,1,241,480,460,0.8554,474,0.8721
T0_AI_1_Images,Original,1,241,480,545,0.8755,471,0.8465
T0_AI_1_Images,Original,1,241,480,476,0.8387,474,0.8499
T1_AI_2_Images,Original,2,390,960,350,0.9015,585,0.905
T1_AI_2_Images,Original,2,390,960,354,0.9014,580,0.8969
T1_AI_2_Images,Original,2,390,960,300,0.9038,580,0.9093
T2_AI_4_Images,Original,4,1028,1920,534,0.9367,790,0.9463
T2_AI_4_Images,Original,4,1028,1920,322,0.9433,788,0.938
T2_AI_4_Images,Original,4,1028,1920,439,0.9421,794,0.9387
T3_AI_8_Images,Original,8,2187,3840,506,0.9547,1206,0.9554
T3_AI_8_Images,Original,8,2187,3840,498,0.954,1209,0.9552
T3_AI_8_Images,Original,8,2187,3840,467,0.9565,1234,0.955
T4_AI_16_Images,Original,16,3571,7680,937,0.9615,2036,0.9631
T4_AI_16_Images,Original,16,3571,7680,856,0.9619,2066,0.9622
T4_AI_16_Images,Original,16,3571,7680,870,0.9625,2158,0.961
T5_AI_20_Images,Original,20,4251,9600,1213,0.9617,2509,0.9629
T5_AI_20_Images,Original,20,4251,9600,947,0.9628,2487,0.9627
T5_AI_20_Images,Original,20,4251,9600,1240,0.9623,2505,0.9626
Aug_T0_AI_1_Images,Augmented,1,4480,480,366,0.9276,NA,NA
Aug_T0_AI_1_Images,Augmented,1,4480,480,504,0.9181,NA,NA
Aug_T0_AI_1_Images,Augmented,1,4480,480,505,0.9294,NA,NA
Aug_T1_AI_2_Images,Augmented,2,8812,960,896,0.9408,NA,NA
Aug_T1_AI_2_Images,Augmented,2,8812,960,985,0.932,NA,NA
Aug_T1_AI_2_Images,Augmented,2,8812,960,547,0.9355,NA,NA
Aug_T2_AI_4_Images,Augmented,4,18120,1920,1066,0.9451,NA,NA
Aug_T2_AI_4_Images,Augmented,4,18120,1920,982,0.9471,NA,NA
Aug_T2_AI_4_Images,Augmented,4,18120,1920,1211,0.9449,NA,NA
Aug_T3_AI_8_Images,Augmented,8,36398,3840,1669,0.9599,NA,NA
Aug_T3_AI_8_Images,Augmented,8,36398,3840,2096,0.9606,NA,NA
Aug_T3_AI_8_Images,Augmented,8,36398,3840,1691,0.9585,NA,NA
Aug_T4_AI_16_Images,Augmented,16,71100,7680,5590,0.9681,NA,NA
Aug_T4_AI_16_Images,Augmented,16,71100,7680,4395,0.9676,NA,NA
Aug_T4_AI_16_Images,Augmented,16,71100,7680,3895,0.9667,NA,NA
Aug_T5_AI_20_Images,Augmented,20,88432,9600,5097,0.9692,NA,NA
Aug_T5_AI_20_Images,Augmented,20,88432,9600,5329,0.9676,NA,NA
Aug_T5_AI_20_Images,Augmented,20,88432,9600,5439,0.9679,NA,NA
